"id","created_at","updated_at","name","reference","nationality","wiki_url"
136,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Pankratz","pankratz","American","http://en.wikipedia.org/wiki/Pankratz"
137,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Arzani-Volpini","arzani-volpini","Italian","http://en.wikipedia.org/wiki/Arzani-Volpini"
138,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Nichels","nichels","American","http://en.wikipedia.org/wiki/Nichels"
139,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Bromme","bromme","American","http://en.wikipedia.org/wiki/Bromme"
140,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Klenk","klenk","German","http://en.wikipedia.org/wiki/Klenk"
141,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Simca","simca","French","http://en.wikipedia.org/wiki/Simca"
142,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Turner","turner","American","http://en.wikipedia.org/wiki/Turner_(constructor)"
143,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Del Roy","del_roy","American","http://en.wikipedia.org/wiki/Del_Roy"
144,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Veritas","veritas","German","http://en.wikipedia.org/wiki/Veritas_(constructor)"
145,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","BMW","bmw","German","http://en.wikipedia.org/wiki/BMW"
146,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","EMW","emw","East German","http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk"
147,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","AFM","afm","German","http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau"
148,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Frazer Nash","frazer_nash","British","http://en.wikipedia.org/wiki/Frazer_Nash"
149,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Sherman","sherman","American","http://en.wikipedia.org/wiki/Sherman_(constructor)"
150,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Deidt","deidt","American","http://en.wikipedia.org/wiki/Deidt"
151,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","ERA","era","British","http://en.wikipedia.org/wiki/English_Racing_Automobiles"
152,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Aston Butterworth","butterworth","British","http://en.wikipedia.org/wiki/Aston_Butterworth"
153,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cisitalia","cisitalia","Italian","http://en.wikipedia.org/wiki/Cisitalia"
154,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Talbot-Lago","lago","French","http://en.wikipedia.org/wiki/Talbot-Lago"
155,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Hall","hall","American","http://en.wikipedia.org/wiki/Hall_(constructor)"
156,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Marchese","marchese","American","http://en.wikipedia.org/wiki/Marchese_(constructor)"
157,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Langley","langley","American","http://en.wikipedia.org/wiki/Langley_(constructor)"
158,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Rae","rae","American","http://en.wikipedia.org/wiki/Rae_(motorsport)"
159,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Olson","olson","American","http://en.wikipedia.org/wiki/Olson_(constructor)"
160,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Wetteroth","wetteroth","American","http://en.wikipedia.org/wiki/Wetteroth"
161,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Adams","adams","American","http://en.wikipedia.org/wiki/Adams_(constructor)"
162,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Snowberger","snowberger","American","http://en.wikipedia.org/wiki/Snowberger"
